Hour,SessionHostName,network_TotalConnections,network_SuccessRate,network_UniqueUsers,network_AvgRttMs,network_QueuedUsers,capacity_ActiveSessions,capacity_MaxSessionLimit,capacity_UtilizationPct,capacity_IsHealthy,fslogix_TotalEvents,fslogix_ErrorCount,hygiene_DisconnectEventCount,hygiene_AvgDisconnectedSessionDurationMinutes,hygiene_MaxDisconnectedSessionDurationMinutes,RTT,HeartbeatGap,QueuedUsers,FSLogixErrors,DiskFreePercent,TempCacheGB,DisconnectedSessions,SourceHasRTT,SourceHasHeartbeatGap,SourceHasQueuedUsers,SourceHasDisk,anomaly,IsAnomaly,AnomalyScore
2026-01-15 16:00:00+00:00,sghv-artr02-96.BC.JSPLC.NET,,,,,,0.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
2026-01-15 16:00:00+00:00,sghv-artr02-97.BC.JSPLC.NET,2.0,0.0,1.0,,0.0,1.5227272727272727,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,Client,,,,,,,,,,,,13.0,,,50.0,0.0,0.0,0.0,50.0,0.0,13.0,0,0,0,0,-1,True,0.753045231309533
2026-01-15 17:00:00+00:00,sghv-artr02-100.BC.JSPLC.NET,3.0,0.3333333333333333,2.0,,0.0,1.6416666666666666,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-101.BC.JSPLC.NET,,,,,,0.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-102.BC.JSPLC.NET,5.0,0.8,3.0,,0.0,1.7,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-103.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,1.55,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-104.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,2.591666666666667,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-105.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,1.8,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-106.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,0.1916666666666666,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-107.BC.JSPLC.NET,4.0,0.5,2.0,,0.0,1.2416666666666667,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-108.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,0.2916666666666666,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-109.BC.JSPLC.NET,2.0,1.0,2.0,,0.0,0.6833333333333333,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-111.BC.JSPLC.NET,9.0,0.5555555555555556,3.0,,0.0,2.44051724137931,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-86.BC.JSPLC.NET,,,,,,1.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-87.BC.JSPLC.NET,,,,,,2.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-88.BC.JSPLC.NET,4.0,0.5,2.0,,0.0,1.8583333333333332,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-89.BC.JSPLC.NET,3.0,0.3333333333333333,1.0,,0.0,0.175,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-90.BC.JSPLC.NET,,,,,,0.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-92.BC.JSPLC.NET,4.0,0.5,2.0,,0.0,1.475,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-93.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,0.2166666666666666,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-94.BC.JSPLC.NET,2.0,0.0,1.0,,0.0,1.9666666666666668,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-95.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,0.575,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-96.BC.JSPLC.NET,4.0,0.0,2.0,,0.0,1.3309139784946238,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 17:00:00+00:00,sghv-artr02-97.BC.JSPLC.NET,1.0,1.0,1.0,,0.0,1.6166666666666667,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 18:00:00+00:00,Client,,,,,,,,,,,,5.0,,,50.0,0.0,0.0,0.0,50.0,0.0,5.0,0,0,0,0,-1,True,0.6953196480471433
2026-01-15 18:00:00+00:00,sghv-artr02-100.BC.JSPLC.NET,,,,,,2.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
2026-01-15 18:00:00+00:00,sghv-artr02-101.BC.JSPLC.NET,2.0,0.0,1.0,,0.0,0.5,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 18:00:00+00:00,sghv-artr02-102.BC.JSPLC.NET,4.0,0.25,1.0,,0.0,0.15,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
2026-01-15 18:00:00+00:00,sghv-artr02-103.BC.JSPLC.NET,,,,,,1.0,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,0,0,1,False,0.3864312204830255
2026-01-15 18:00:00+00:00,sghv-artr02-104.BC.JSPLC.NET,4.0,0.5,1.0,,0.0,1.2083333333333333,,,1.0,,,,,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0,0,1,0,1,False,0.3864312204830255
