Hour,SessionHostName,network_TotalConnections,network_SuccessRate,network_UniqueUsers,network_AvgRttMs,network_QueuedUsers,capacity_ActiveSessions,capacity_MaxSessionLimit,capacity_UtilizationPct,capacity_IsHealthy,fslogix_TotalEvents,fslogix_ErrorCount,hygiene_DisconnectEventCount,hygiene_AvgDisconnectedSessionDurationMinutes,hygiene_MaxDisconnectedSessionDurationMinutes,RTT,HeartbeatGap,QueuedUsers,FSLogixErrors,DiskFreePercent,TempCacheGB,DisconnectedSessions,SourceHasRTT,SourceHasHeartbeatGap,SourceHasQueuedUsers,SourceHasDisk,anomaly,IsAnomaly,AnomalyScore,avg_rtt,tcp_fallback_count,heartbeat_gap,queued_users,login_failures,fslogix_errors,disk_free,temp_profile_cache,disconnected_sessions,client_version,network_issue,session_host_issue,capacity_issue,fslogix_issue,disk_issue,hygiene_issue,client_issue,has_issue
2026-01-27 13:00:00+00:00,Client,,,,,,,,,,,,31.0,,,50.0,0.0,0.0,0.0,50.0,0.0,31.0,0,0,0,0,-1,True,0.8162979184403182,,0.0,,0.0,0.0,0.0,,0.0,31.0,,False,False,False,False,False,True,False,True
2026-01-27 15:00:00+00:00,Client,,,,,,,,,,1.0,1.0,22.0,,,50.0,0.0,0.0,1.0,50.0,0.0,22.0,0,0,0,0,-1,True,0.8091495536743952,,0.0,,0.0,0.0,1.0,,0.0,22.0,,False,False,False,True,False,False,False,True
2026-01-28 04:00:00+00:00,Client,,,,,,,,,,1.0,1.0,13.0,,,50.0,0.0,0.0,1.0,50.0,0.0,13.0,0,0,0,0,-1,True,0.7874343411692445,,0.0,,0.0,0.0,1.0,,0.0,13.0,,False,False,False,True,False,False,False,True
2026-01-28 11:00:00+00:00,Client,,,,,,,,,,,,37.0,,,50.0,0.0,0.0,0.0,50.0,0.0,37.0,0,0,0,0,-1,True,0.8263000284451543,,0.0,,0.0,0.0,0.0,,0.0,37.0,,False,False,False,False,False,True,False,True
2026-01-28 12:00:00+00:00,Client,,,,,,,,,,,,34.0,,,50.0,0.0,0.0,0.0,50.0,0.0,34.0,0,0,0,0,-1,True,0.8223958380295531,,0.0,,0.0,0.0,0.0,,0.0,34.0,,False,False,False,False,False,True,False,True
2026-01-28 14:00:00+00:00,Client,,,,,,,,,,,,31.0,,,50.0,0.0,0.0,0.0,50.0,0.0,31.0,0,0,0,0,-1,True,0.8162979184403182,,0.0,,0.0,0.0,0.0,,0.0,31.0,,False,False,False,False,False,True,False,True
2026-01-29 09:00:00+00:00,Client,,,,,,,,,,,,32.0,,,50.0,0.0,0.0,0.0,50.0,0.0,32.0,0,0,0,0,-1,True,0.8179564891221405,,0.0,,0.0,0.0,0.0,,0.0,32.0,,False,False,False,False,False,True,False,True
2026-01-29 13:00:00+00:00,Client,,,,,,,,,,,,36.0,,,50.0,0.0,0.0,0.0,50.0,0.0,36.0,0,0,0,0,-1,True,0.8240667985881867,,0.0,,0.0,0.0,0.0,,0.0,36.0,,False,False,False,False,False,True,False,True
2026-01-29 14:00:00+00:00,Client,,,,,,,,,,1.0,1.0,35.0,,,50.0,0.0,0.0,1.0,50.0,0.0,35.0,0,0,0,0,-1,True,0.8466734181236373,,0.0,,0.0,0.0,1.0,,0.0,35.0,,False,False,False,True,False,True,False,True
2026-01-29 15:00:00+00:00,Client,,,,,,,,,,,,39.0,,,50.0,0.0,0.0,0.0,50.0,0.0,39.0,0,0,0,0,-1,True,0.8285393103789711,,0.0,,0.0,0.0,0.0,,0.0,39.0,,False,False,False,False,False,True,False,True
